1.1.toyota_sienna	1.0 0.708
2.1.kato.toyota_aqua	1.0 0.026
2.1.scion_click_toyota	1.0 0.049
2.1.toyota_highlander_hybrid	188.0 16.202
2.1.toyota_motorsport	99.0 14.112
2.1.toyota_sequoia	262.0 29.539
4.0.toyota_landcruiser	129.0 24.044
4.0.toyota_roma_via_tivoli	15.0 8.34
4.1.toyota_rav	14.0 5.35
1.1.toyota_tercel	1.0 0.071
2.0.toyota_center	25.0 5.031
2.0.toyota_crown_majesta	4.0 0.156
2.0.toyota_geneo_hybrid	1.0 0.543
2.1.lapaz_toyota	1.0 0.444
2.1.toyota_jwp_out	1.0 0.157
2.1.toyota_pickup	94.0 5.7
4.0.toyota_grand_new_fortuner_vn_turbo	4.0 0.268
4.0.toyota_thaigascar	61.0 6.324
4.0.toyota_ts030_lmp1	28.0 10.388
4.0.toyota_vibe_summer_mixtape	2.0 0.25
4.1.toyota_sponsors_yahoo	2.0 1.148
4.1.toyota_team_europe	5.0 0.181
adx.2.0.toyota_safety_smart_stop_technology	8.0 5.456
2.0.mobil_murah_daihatsu_toyota_hadir	10.0 5.92
2.0.toyota_announces	1.0 0.199
2.0.toyota_raih	67.0 14.96
2.1.sexy_toyota_hybrids	1.0 0.832
4.0.toyota_corolla_axio	110.0 14.418
4.0.toyota_rush	83.0 39.941
1.1.toyota_avalon	18.0 2.123
2.0.toyota_estima	83.0 37.772
2.1.toyota_prius_phv	1.0 0.25
adx.1.1.toyota_corona	1.0 0.079
1.0.toyota_axio	5.0 1.728
4.1.roseville_toyota	1.0 0.407
4.1.toyota_industries_corporation	2.0 0.283
adx.1.0.toyota_bets	1.0 0.193
adx.2.0.toyota_gt	33.0 10.038
1.1.the_toyota_way	1.0 0.063
2.1.natal_toyota	1.0 0.246
4.0.successful_jit_systems_toyota	66.0 20.856
4.1.kiichiro_toyota	6.0 1.767
4.1.toyota_bets	8.0 1.544
adx.2.1.grand_new_toyota	1.0 0.075
adx.4.0.toyota_banking	3.0 0.84
adx.4.0.toyota_trd	3.0 0.975
1.1.toyota_camry	55.0 7.513
2.0.rem_toyota_new_yaris	1.0 0.3
2.0.toyota_updates_jdm_mark	1.0 0.6
2.1.new_toyota_vehicle	10.0 4.84
2.1.toyota_pickups	7.0 1.296
4.0.okezone_autos_toyota_camatte	1.0 0.321
4.0.toyota_duet	4.0 1.517
4.1.toyota_land_cruiser_70_series	7.0 2.492
adx.2.1.toyota_motor_sales_usa	3.0 0.126
2.0.genuine_toyota_parts_factory_oem_authorized	53.0 9.646
2.0.toyota_grand_new_fortuner_vnt_naik_rp10_juta	2.0 1.178
2.0.toyota_tis_techstream	12.0 1.68
2.0.toyota_zimbabwe	3.0 2.25
2.1.toyota_accessories	14.0 5.099
2.1.toyota_gli	67.0 2.384
2.1.toyota_kodawari	2.0 0.363
2.1.toyotacamry_hybrid	1.0 1.0
4.1.coser_toyota	39.0 6.685
4.1.toyota_fj	26.0 5.777
4.1.toyota_great_corolla	1.0 0.26
4.1.toyota_noah	293.0 85.976
2.0.dimca_toyota	3.0 0.084
2.0.service_appointment_berlin_city_toyota	1.0 0.165
2.0.toyota_team_europe	114.0 4.332
2.1.copa_toyota	7.0 0.163
2.1.toyota_ns4_fcv	2.0 0.136
4.1.piezas_genuinas_toyota	46.0 30.544
9.glenntoyotanews.com	1.0 1.0
adx.2.0.reliability_survey_toyota	2.0 0.428
2.0.toyota_announces_return	1.0 0.321
2.0.toyota_click_toyota	42.0 2.929
2.0.toyota_daihatsu	61.0 1.899
2.1.toyota_earning_profits	54.0 20.628
2.1.toyota_motor_europe	25.0 2.047
2.1.toyota_pricing_bulletin	1.0 0.259
4.0.schaumburg_toyota	4.0 0.324
4.0.toyota_new_vios_super_ect_super_ect_toyota_new_vios_toyota_new_vios_super_ect	6.0 1.188
4.1.supernatural_authors:toyota_yuu	3.0 0.324
adx.2.0.toyota_yaris	30.0 6.449
adx.4.0.toyota_aygo	1.0 0.488
adx.4.1.toyota_rs2000	1.0 0.849
2.0.toyota_builds_new_plant	9.0 4.41
2.0.used_toyota_surf	47.0 24.126
2.1.toyota_shopping_tool	1.0 0.154
4.0.hadji_kalla_toyota	1.0 0.573
4.1.toyota_starlet	104.0 19.877
4.1.toyota_starlet_glanza	1.0 0.887
adx.4.1.toyota_related_images	1.0 0.039
adx.9.rosevilletoyota.sensibledriver.com	8.0 8.0
1.1.toyota_platz	3.0 1.021
2.1.supernatural_authors:toyota_yuu	6.0 0.648
4.0.novidades_toyota	1.0 0.155
4.0.toyota_motor	166.0 20.692
4.1.tmg_toyota_gt	2.0 0.18
9.toyotaonfront.com	284.0 309.0
adx.2.0.toyota_caldina	1.0 0.049
adx.9.mariontoyota.calls.net	10.0 10.0
2.0.toyota_premio	43.0 23.6
2.1.new_toyota_specials	8.0 1.392
2.1.toyota_makes_good	14.0 4.832
2.1.toyota_mr2_spyder	24.0 6.144
4.0.toyota_bets	8.0 1.544
4.1.fundao_toyota	3.0 0.177
4.1.toyota_qualis	1.0 0.189
4.1.toyota_verso	537.0 198.149
adx.1.0.toyota_stock	1.0 0.322
1.1.nalley_toyota	1.0 0.446
2.0.chandra_toyota	3.0 0.819
2.0.toyota_builds	1.0 0.405
2.0.toyota_texas	1.0 0.057
2.1.toyota_great_corolla	1.0 0.038
4.1.toyota_ractis	1.0 0.688
4.1.toyota_sales_gain	1.0 0.169
9.lowetoyotanews.com	3.0 3.0
9.toyotamultanmotors.enic.pk	1.0 1.0
adx.2.0.funny_pictures_toyota	1.0 0.059
2.0.toyota_model_cressida_grande	10.0 0.45
2.0.toyota_passo	40.0 18.712
2.1.buckhannon_toyota	1.0 0.268
2.1.toyota_succeeds	3.0 0.378
4.0.boulevard_toyota	1.0 0.273
4.0.toyota_kenya_ltd_toyotsu_auto_mart_kenya_ltd	2.0 0.166
4.0.toyota_noah	290.0 85.553
4.0.toyota_optimal_drive_yaris_yaris_yaris	2.0 0.146
4.0.toyota_soluna	12.0 4.057
4.1.da_toyota_pick	5.0 0.395
4.1.toyota_vios	428.0 62.299
4.1.vehculos_toyota	5.0 1.105
9.jeffwylerspringfieldtoyota.net	74.0 79.0
adx.4.0.toyota_reconfigures_venza_lineup	2.0 0.852
1.1.toyota_boshoku	4.0 0.152
1.1.toyota_city	2.0 0.174
2.0.toyota_vehicle_online_showroom_used_vehicles	8.0 3.6
4.0.rav4_suvs_toyota	1.0 0.075
4.0.toyota_celica	140.0 54.096
4.0.toyota_spruces	6.0 2.646
4.1.toyota_fr	4.0 0.84
4.1.toyota_fun_vii	1.0 0.294
adx.2.0.toyota_news_information	2.0 0.08
adx.2.0.toyota_texas_bass_classic	34.0 16.254
1.1.toyota_concert_series	3.0 1.009
2.0.toyota_corola_classified	6.0 3.942
2.0.toyota_motor_corp	37.0 2.797
2.1.ter_studiotoyota_vios	24.0 1.92
2.1.toyota_motor_manufacturing_kentucky	87.0 5.751
2.1.toyota_year_model	3.0 0.211
4.0.autos_toyota	2.0 0.406
4.0.toyota_hiace	30.0 13.449
adx.2.0.toyota_analyzes_prius_production	1.0 0.382
1.0.myers_toyota	1.0 0.679
1.0.toyota_corolla	53.0 19.291
1.1.gulf_states_toyota	3.0 0.21
2.0.toyota_altezza	118.0 45.394
2.0.toyota_recall	62.0 11.385
4.0.toyota_bandeirante	1.0 0.117
4.1.toyota_canada	71.0 3.364
4.1.toyota_ft	50.0 15.134
9.legacytoyotanews.com	2.0 4.0
adx.4.0.toyota_ae101	1.0 0.211
adx.4.0.toyota_releases	2.0 0.37
2.0.penerus_toyota_hardtop_akan_hadir	2.0 0.754
2.0.toyota_aristo	19.0 13.412
2.0.toyota_grand_prius_ecologische	10.0 1.87
2.0.toyota_hilux	1503.0 498.874
2.0.toyota_launches_new	1.0 0.626
2.1.toyota_corolla_sportivo	2.0 1.242
4.0.toyota_carina	11.0 2.207
4.1.toyota_corolla_e100	1.0 0.025
9.rodlandtoyotanews.com	16.0 16.0
adx.2.1.toyota_home_japan	1.0 0.039
adx.4.1.toyota_ft_hs	1.0 0.029
1.1.toyota_prius_phev	1.0 0.031
1.1.toyota_truck	1.0 0.028
1.1.used_toyota_cars	2.0 0.676
2.0.dailytech_toyota	7.0 1.011
2.0.used_toyota_vigo	19.0 10.651
2.1.sistema_toyota	3.0 0.264
4.0.juta_buat_tebus_toyota	2.0 0.82
4.0.northpoint_toyota	50.0 26.686
4.1.toyota_confirms_timing	1.0 0.278
9.toyotabanten.net	26.0 26.0
adx.2.0.toyota_japan	3.0 0.093
adx.2.1.knowing_toyota	1.0 0.38
adx.4.0.failure_toyota	1.0 0.214
1.0.toyota_verso	3.0 1.668
2.0.toyota_india_escpecially	1.0 0.064
2.0.toyota_motorsport_gmbh	3.0 0.743
2.0.toyota_optimal_drive_yaris_yaris_yaris	3.0 0.219
2.1.toyota_pamerkan	8.0 1.84
2.1.toyota_yaris_hybrid	479.0 196.916
4.0.latoyota_gt86serait	2.0 0.052
4.0.toyota_drift_school	4.0 3.258
4.0.toyota_mobile_wallpapers	1.0 0.22
4.0.toyota_sponsors_yahoo	2.0 1.148
4.0.vvt_toyota	10.0 0.33
4.1.toyota_ireland	8.0 0.512
adx.4.0.toyota_makes_good	1.0 0.302
adx.4.0.toyota_mr2_spyder	1.0 0.037
1.1.toyota_supra	6.0 2.278
2.0.toyota_todos_vendo_repuestos_toyota_vendo	53.0 4.759
2.1.clutch_kit_toyota	1.0 0.071
2.1.toyota_fj	19.0 4.86
2.1.toyota_ford_suv	1.0 0.784
4.0.rue_toyota_rue	27.0 1.634
4.0.toyota_model_echo	1.0 0.04
4.0.toyota_pordenone_viale_treviso	4.0 2.004
4.0.toyota_vios	155.0 50.259
4.1.toyota_estima_hybrid	5.0 4.018
4.1.toyota_models	38.0 1.539
adx.2.0.supernatural_authors:toyota_yuu	1.0 0.108
adx.2.1.toyota_innova	4.0 2.266
1.0.toyota_city	2.0 0.174
1.1.sakichi_toyota	1.0 0.065
2.0.mobil_toyota_agya_toyota_agya	9.0 0.567
2.0.new_toyota	33.0 6.515
2.0.toyota_agya_daihatsu_ayla	2.0 0.778
2.0.toyota_reportedly_plans_two_new_prius_variants	1.0 0.376
2.1.toyota_astra_motor	249.0 12.852
4.0.toyota_iq_ev	3.0 0.851
adx.2.0.toyota_highlander_hybrid	7.0 1.726
adx.9.erinparktoyota.com	2.0 3.0
2.0.berlin_city_toyota_nh	3.0 0.537
2.0.toyota_grand_new_fortuner	5.0 0.98
2.1.service4service_toyota	1.0 0.111
2.1.toyota_highlander	596.0 61.92
2.1.toyota_ke3_hardtop	1.0 0.601
2.1.toyota_porte	7.0 2.79
4.0.toyota_liteace	2.0 0.895
4.1.toyota_karnataka	1.0 0.063
adx.2.0.toyota_tacomas	1.0 0.277
adx.9.reddeertoyota.com	1.0 1.0
1.1.toyota_walton_motors	2.0 2.0
2.1.toyota_hilux_surf	146.0 22.074
2.1.vehicles_reveal_toyota	6.0 2.808
4.0.enjoying_life_toyota	1.0 0.048
4.0.mobil_murah_daihatsu_toyota_hadir	17.0 10.064
4.0.toyota_dealers	5.0 0.24
4.1.toyota_hilux_sw4	7.0 0.387
9.staging.toyota.com	3.0 4.0
1.0.southeast_toyota	1.0 0.035
2.0.shizuka_suneo30_toyota	3.0 0.276
2.1.toyota_carina_ed	5.0 0.226
2.1.toyota_rush	118.0 28.888
4.1.toyota_estima_lucida	2.0 2.181
adx.2.1.reliability_survey_toyota	2.0 0.428
adx.2.1.toyota_camry_solara	2.0 0.148
adx.2.1.toyota_sera	2.0 0.096
adx.4.1.toyota_motor_company	1.0 0.027
adx.4.1.toyota_technical_center	4.0 0.145
1.0.used_toyota_vigo_cars	5.0 1.408
1.1.berlin_city_toyota	1.0 0.065
1.1.toyota_tundra	8.0 1.898
2.0.toyota_mark_ii	86.0 54.016
2.1.toyota_kenya_jobs	1.0 0.044
4.1.toyota_celica_supra	21.0 1.413
adx.1.1.toyota_motor_manufacturing_kentucky	1.0 0.096
2.1.toyota_australia	243.0 17.552
2.1.toyota_estima_hybrid	3.0 2.595
4.0.corolla_toyota_thule	2.0 0.636
4.1.toyota_aygo	930.0 362.103
9.langleytoyota.com	32.0 32.0
adx.2.0.toyota_camry	207.0 58.696
adx.2.0.toyota_trueno_ae86	1.0 0.639
1.0.toyota_sharelunker_program	1.0 0.052
2.0.toyota_grand_new_kijang_innova	5.0 0.656
2.0.toyota_tsusho	6.0 1.726
adx.2.0.toyota_planning	1.0 0.328
adx.4.0.the_toyota_way	1.0 0.224
adx.4.1.marion_toyota	4.0 1.134
adx.4.1.toyota_safety	2.0 1.848
2.0.toyota_realisasikan_investasi_rp2	1.0 0.496
2.1.toyota_duet	40.0 3.166
2.1.toyota_fr	3.0 0.63
2.1.toyota_reports_over	2.0 0.352
4.0.imagen_motor_toyota	4.0 3.408
4.1.toyota_toyota	53.0 2.871
adx.2.1.toyota_care	2.0 0.284
adx.4.0.toyota_related_images	1.0 0.039
adx.4.1.custom_toyota_cars	1.0 0.521
2.0.hot_stav_strashko_toyota	1.0 0.762
2.0.toyota_cars_collection	30.0 5.053
2.1.toyota_cars_philippines	3.0 0.441
2.1.toyota_modified	1.0 0.45
4.0.charlesglen_toyota	3.0 1.089
4.0.toyota_invents_baby	1.0 0.54
4.0.toyota_toyota_ns4_fcv	1.0 0.11
4.1.camioneta_toyota	1.0 0.317
4.1.toyota_gb	32.0 8.47
adx.1.1.used_toyota	1.0 0.033
adx.2.1.toyota_etios	3.0 2.415
adx.9.woodhavenlexustoyota.net	1.0 1.0
2.0.toyota_didier_leroy	1.0 0.082
2.0.toyota_gt86_coupes_drifting	1.0 0.552
2.0.toyota_rav	18.0 6.813
2.0.toyota_toyota_toyota_toyota_toyota_toyota_toyota_toyota_toyota	1.0 0.798
2.1.toyota_ft	80.0 18.752
4.0.toyota_production_system	130.0 9.608
4.0.website_ravindu_toyota	3.0 0.285
4.1.subaru_toyota	6.0 0.459
9.stage.waynetoyota.com	6.0 6.0
2.0.toyota_rush	63.0 27.081
2.1.prius_toyota	2.0 0.168
4.0.toyota_sales_strong	7.0 1.099
4.0.toyota_tamaraw_fx	1.0 0.068
4.1.toyota_mumbai	3.0 0.288
4.1.toyota_s800	25.0 0.625
adx.2.0.toyota_sera	2.0 0.096
adx.4.0.toyota_code_definition	3.0 0.12
adx.4.0.toyota_hilux_surf	2.0 0.146
adx.4.1.toyota_motors	12.0 0.42
adx.9.mariontoyota.com	117.0 154.0
2.0.toyota_division	1.0 0.027
4.0.toyota_pakistan_new_toyota_cars	127.0 50.181
4.1.has_toyota	9.0 1.674
4.1.toyota_home_japan	14.0 0.546
2.0.wipro_translated_toyota	4.0 0.84
2.1.toyota_emitida	2.0 0.258
4.0.harga_shockbreaker_kayaba_toyota	231.0 11.045
4.0.toyota_aygo	820.0 357.741
4.0.toyota_turned	1.0 0.329
4.1.toyota_motor	279.0 24.523
9.toyotaofgreenvillenews.com	38.0 38.0
adx.2.0.toyota_motorsport	4.0 0.256
adx.4.0.new_toyota_vehicle	1.0 0.484
adx.9.toyota.com	955.0 1010.0
1.0.toyota_concert_series	3.0 1.009
2.0.toyota_pakistan_new_toyota_cars	46.0 18.283
2.1.toyota_bets	8.0 1.544
4.0.mongoose_mfc_supports_toyota_techstream_tis	16.0 6.912
4.0.sims_toyota_northampton	1.0 0.065
4.1.toyota_wallpaper	2.0 0.816
4.1.toyota_yariz_con	1.0 0.19
9.toyotaoflakewoodnews.com	5.0 5.0
adx.2.0.nascar_toyota	1.0 0.084
adx.2.1.toyota_rav4_ev	19.0 3.439
adx.4.0.toyota_sienna	65.0 23.107
2.0.toyota_alphard	79.0 21.216
2.0.toyota_duet	5.0 2.326
2.0.tuned_toyota_gt86_drifting	6.0 3.744
4.0.glenn_toyota	2.0 0.484
4.0.okezone_autos_toyota_kembali_gelar_program_avanzanation	1.0 0.346
4.1.nhra_story_toyota	1.0 0.206
4.1.toyota_argentina	1.0 0.161
4.1.toyota_fs_cheetahs	2.0 0.504
9.blogtoyotaproductionsystem.blogspot.pt	1.0 1.0
adx.2.0.toyota_care	2.0 0.284
adx.2.1.toyota_parts	10.0 2.5
2.0.casey_toyota_offers	19.0 0.399
2.0.toyota_ns4_fcv	2.0 0.136
2.1.cox_toyota	1.0 0.101
2.1.toyota_bellusco_via	1.0 0.402
2.1.toyota_js021	1.0 1.0
2.1.toyota_noah	200.0 67.79
4.0.toyota_avensis	695.0 323.513
4.1.kit_toyota	1.0 0.185
adx.1.0.used_toyota	1.0 0.033
adx.2.1.toyota_land_cruiser	157.0 20.111
adx.4.1.toyota_car_dealers	1.0 0.123
1.1.toyota_ft	1.0 0.094
2.1.mystery_toyota_sedan	1.0 0.072
2.1.umw_toyota	37.0 3.546
4.0.ironic_toyota_print	1.0 0.798
4.0.toyota_gli	7.0 0.365
4.0.toyota_kirloskar	167.0 37.939
4.1.toyota_limo	3.0 1.06
4.1.used_toyota	205.0 9.665
9.toyotainnovacrysta.in	5.0 5.0
adx.4.1.toyota_corolla	88.0 21.597
2.1.toyota_kills_plans	11.0 2.739
2.1.toyota_leluxury_edition.you	1.0 0.055
2.1.toyota_sienna	885.0 164.781
4.0.fremont_toyota	1.0 0.094
4.0.okezone_autos_toyota_new_vios_trd_sportivo_makin_ganteng	23.0 10.994
4.0.toyota_starlet	97.0 19.615
4.1.auto_technician_toyota	1.0 0.378
4.1.autos_toyota	2.0 0.406
4.1.toyota_gt86_autorevue	4.0 0.812
4.1.toyota_hiace	86.0 14.815
adx.2.1.toyota_vehicles	12.0 0.789
adx.4.1.toyota_camry_hybrid	43.0 2.39
2.0.toyota_astra_motor_program	1.0 0.104
4.0.penerus_toyota_hardtop_akan_hadir	4.0 1.508
adx.2.0.toyota_crown	6.0 1.171
adx.2.0.toyota_ready	2.0 0.146
adx.2.0.toyota_truck	2.0 0.442
adx.4.1.berlin_city_toyota	1.0 0.159
adx.4.1.toyota_ae101	1.0 0.211
2.0.toyota_service	8.0 0.77
2.1.toyota_levin	51.0 11.244
2.1.toyota_releases	26.0 4.189
4.0.toyota_partner_robot	8.0 0.427
9.racetoyota.ca	21.0 22.0
adx.4.0.toyota_line	1.0 0.034
1.0.toyota_motor	5.0 1.105
1.1.toyota_motor_corporation	3.0 0.125
2.0.paint_toyota_gray_aerosol	1.0 0.815
2.0.toyota_2000_gt	9.0 2.028
2.0.toyota_bets	8.0 1.544
2.1.supply_toyota	1.0 0.225
4.0.toyota_hiccup	10.0 3.29
4.1.toyota_stadium	19.0 0.662
adx.1.1.toyota_prius	3.0 1.16
adx.2.0.toyota_sports	1.0 0.786
adx.2.0.toyota_supra	120.0 37.889
adx.2.1.hendrickson_toyota	7.0 1.134
adx.2.1.toyota_recalls	2.0 0.583
11.rt_toyota_yaris.retargcnt	6150.0 17124.0
2.0.new_toyota_ft	3.0 1.158
2.0.toyota_fs_cheetahs	19.0 4.967
2.0.toyota_rs2000	48.0 41.601
2.0.toyota_seeks	1.0 0.145
4.1.toyota_hybrid_system	30.0 1.337
4.1.toyota_presents_oakdale	1.0 0.507
adx.2.1.toyota_cars	1.0 0.026
adx.2.1.toyota_ns4	1.0 0.355
2.0.toyota_noah	197.0 67.727
2.1.toyota_gb	100.0 23.039
2.1.toyota_spruces	5.0 2.205
2.1.toyota_vios	524.0 115.04
4.0.toyota_motor_sales	39.0 2.778
4.1.toyota_forklift_reviews	1.0 0.499
9.alpinetoyota.com	20.0 22.0
9.berlincitytoyotanh.com	389.0 419.0
9.search.sunshinetoyota.com.au	61.0 298.0
9.stage.russelletoyota.com.vsd27.korax.net	1.0 1.0
adx.2.1.toyota_kirloskar	21.0 0.945
1.0.islands_toyota	1.0 0.163
1.1.toyota_highlander_hybrid	1.0 0.035
1.1.toyota_vitz	20.0 7.15
2.0.adriel_toyota_barranquitas	61.0 4.087
2.0.toyota_electratn_lth	1.0 0.505
2.0.toyota_overtakes_gm	1.0 0.454
2.0.toyota_pakistan	48.0 5.285
2.0.yaris_hybrid_toyota	3.0 0.312
2.1.toyota_mpv_noah	106.0 9.483
4.0.baierl_toyota_country_megaticket	1.0 0.088
4.0.toyota_limo	3.0 1.06
4.0.toyota_motor_company	13.0 0.423
4.0.toyota_rav4_ev	507.0 131.33
4.0.used_toyota	200.0 9.47
4.1.toyota_iq_ev	3.0 0.851
4.1.toyota_kijang	3.0 0.138
9.markjacobsontoyota.net	29.0 31.0
adx.2.1.toyotacsr_toyota_csr	1.0 0.14
adx.4.1.adriel_toyota	2.0 0.12
2.0.toyota_probox	41.0 31.178
2.1.toyota_auction_grade	1.0 0.101
2.1.toyota_presents_sub	1.0 0.18
4.0.brian_toyota	1.0 0.152
4.0.toyota_dream_car	15.0 5.237
adx.2.1.toyota_sales_strong	1.0 0.157
adx.4.0.toyota_tercel	1.0 0.029
1.0.toyota_hiace	1.0 0.648
2.0.toyota_partner_robot	5.0 0.32
2.0.toyota_quantum	3.0 0.9
2.1.fse_toyota_mark	2.0 0.08
2.1.toyota_publica_sports	1.0 0.452
4.0.toyota_grand_new_kijang_innova_dipasarkan	2.0 1.338
4.0.toyota_innova	514.0 155.19
4.1.gte_toyota	1.0 0.07
9.toyotausvi.badnss.com	1.0 3.0
adx.2.0.berlin_city_toyota	2.0 0.551
adx.9.blog.toyota.co.uk	20.0 27.0
1.1.annonce_toyota_rav	1.0 0.377
2.0.yaris_hsd_toyota	2.0 0.168
2.1.modified_toyota_mr	30.0 1.44
2.1.toyota_model	3.0 0.114
2.1.toyota_thailand	1.0 0.049
4.0.powered_toyota_gt	2.0 1.302
4.0.toyota_ts030	4.0 0.741
4.1.manami_toyota	6.0 1.425
4.1.toyota_avanza	811.0 280.194
4.1.toyota_csr_click	5.0 0.275
4.1.toyota_gt	447.0 146.214
9.stage.wietzestoyota.com.vsd27.korax.net	4.0 4.0
adx.2.0.knowing_toyota	1.0 0.38
adx.4.0.metro_toyota	2.0 0.226
adx.9.attrelltoyota.com	4.0 4.0
2.0.toyota_camry_solara	11.0 3.366
2.0.used_toyota_mark	13.0 5.75
2.1.bayside_toyota_pavillion	1.0 0.3
2.1.toyota_belta	92.0 56.7
2.1.toyota_hybrid_system	43.0 1.927
4.0.toyota_analyzes_prius_production	16.0 6.112
4.0.toyota_corona_mark_ii	3.0 0.22
4.0.toyota_ireland	8.0 0.512
4.0.toyota_motorsport	43.0 12.353
4.1.racing_toyota	1.0 0.057
4.1.toyota_cresta	4.0 0.695
adx.2.1.toyota_mr2	9.0 3.654
2.0.clearance_toyota_oem	6.0 0.15
2.0.genuine_toyota_parts_online	12.0 2.88
2.0.sobre_repuestos_toyota	1.0 0.058
2.0.used_toyota_other_cars	1.0 0.204
2.1.haley_toyota	2.0 0.88
2.1.toyota_tercel	94.0 11.34
4.0.kuota_toyota	1.0 0.34
4.0.toyota_aqua_lebih_irit_murah	12.0 6.816
4.0.toyota_presents	1.0 0.038
4.1.2554toyota_tacoma	2.0 0.158
4.1.kato.toyota_aqua	2.0 0.052
adx.2.0.toyota_cars	1.0 0.026
1.0.used_toyota_surf_cars	2.0 0.121
2.0.blitz_compressor_system_supercharger_kit_toyota_sxe10_ncp91_sort	4.0 0.452
2.0.toyota_1jz_gte_vvt	2.0 1.136
2.0.toyota_motor_company	8.0 0.219
2.0.toyota_vios	233.0 104.144
2.1.toyota_starlet_gt_turbo	25.0 20.869
4.1.town_toyota_center	44.0 28.413
adx.2.0.toyota_land_cruiser_prado	1.0 0.356
adx.4.1.toyota_sequoia	8.0 2.691
